Hugo_Symbol	reptime	percentage_gene_gc_content	hic	cds_length
CYP4A11	578	0.420755	5	1595.8
CYP4A22	414	0.42087	3	1820.4
CYP4B1	475	0.41612	8	1185
CYP4F11	575	0.45522	12	2885.5
CYP4F12	605	0.456915	21	1260.82352941176
CYP4F2	575	0.452655	15	1122.625
CYP4F22	543	0.50861	20	2543
CYP4F3	605	0.46987	29	1815.22222222222
CYP4F8	605	0.46987	29	1411.38461538462
CYP4V2	606	0.42523	-2	3844.5
CYP4X1	479	0.410665	4	1744
CYP4Z1	479	0.39951	4	1221.5
CYP51A1	461	0.36404	26	1359.4
CYP7A1	608	0.39328	11	2950
CYP7B1	1018	0.3780267	22	1394.5
CYP8B1	447	0.44337	21	2923
CYR61	345	0.39994	13	1420.5
CYS1	214	0.477835	44	1622.5
CYSLTR1	NaN	0.38134	-9	2805
CYSLTR2	430	0.41744	46	2548
CYTH1	250	0.479595	32	1831.11764705882
CYTH2	209	0.5281	41	1843.27272727273
CYTH4	201	0.535195	61	1172.45454545455
CYTIP	895	0.38044	18	908.666666666667
CYTL1	557	0.44518	36	613.666666666667
CYYR1	626	0.383925	-75	1716
D2HGDH	380	0.53092	30	1414.55555555556
DAAM1	405	0.3978167	32	1919.78571428571
DAAM2	914	0.433275	26	2726.25
DAB1	1004	0.40949	-12	1683
DAB2	374	0.386095	-7	1330.47058823529
DAB2IP	475	0.52193	22	2515
DACH1	1135	0.341416	-22	4414.75
DACH2	NaN	0.3607757	-32	2598.85714285714
DACT1	489	0.41848	32	2126.5
DACT3	347	0.48864	28	2815
DAD1	380	0.44028	49	520.6
DAG1	236	0.48901	28	1952.13636363636
DAGLA	208	0.548735	58	5728
DAK	286	0.49089	57	874.571428571429
DALRD3	241	0.47403	41	1441.625
DAND5	335	0.52216	40	1799.5
DAO	393	0.48545	49	1254.75
DAOA	1235	0.35527	-28	936.8
DAP	435	0.47336	29	965.166666666667
DAP3	152	0.45406	32	850.269230769231
DAPK1	494	0.4465433	26	2282.88888888889
DAPK2	261	0.44897	45	1299.16666666667
DAPK3	207	0.52584	30	1276.14285714286
DAPL1	361	0.43553	14	564.666666666667
DAPP1	693	0.40502	19	2048.25
DARC	785	0.40709	14	1320
DARS	410	0.41053	30	855.25
DARS2	385	0.39916	11	1982.25
DAXX	262	0.49526	30	1004.79310344828
DAZAP1	221	0.57248	38	1664.33333333333
DAZAP2	194	0.47169	40	1190.26666666667
DAZL	470	0.40194	24	2293
DBF4	758	0.36526	14	1589.5
DBF4B	175	0.469495	29	1535.45454545455
DBH	481	0.55724	31	1766
DBI	497	0.4103	35	702.8
DBN1	261	0.55651	50	1537.33333333333
DBNDD2	382	0.46833	35	1256.55555555556
DBNL	226	0.514335	52	1786.5
DBP	242	0.53984	31	2179
DBR1	464	0.43737	9	1377.6
DBT	495	0.37882	9	6160
DBX1	453	0.44824	-5	1264.5
DBX2	805	0.37097	-18	2806
DCAF10	524	0.4105	35	3092.8
DCAF11	355	0.47845	19	1105.47368421053
DCAF12	142	0.446885	39	1300.2
DCAF12L1	NaN	0.36131	-16	3379
DCAF12L2	NaN	0.36168	-29	1536.5
DCAF13	673	0.39368	28	2035
DCAF15	231	0.55027	32	953.833333333333
DCAF16	1073	0.38982	21	2106.75
DCAF17	271	0.39214	38	1768.18181818182
DCAF4	341	0.467795	41	1296.8
DCAF4L1	261	0.41154	25	4764
DCAF4L2	994	0.35797	-27	3324
DCAF5	289	0.42467	33	2484.33333333333
DCAF6	417	0.37088	13	1783.16666666667
DCAF7	247	0.52127	-1	2197.375
DCAF8	355	0.47398	27	1576.38095238095
DCAF8L1	NaN	0.36479	25	3457
DCAKD	191	0.51489	28	1147
DCBLD1	465	0.39209	9	1160.38461538462
DCBLD2	411	0.39156	6	1858.9
DCC	995	0.3699808	-34	1247.83333333333
DCD	494	0.47456	31	696
DCDC1	938	0.36051	-25	2652.33333333333
DCDC2	711	0.3915267	-12	2910
DCDC2B	218	0.45691	29	1606
DCHS1	491	0.46968	17	10763
DCHS2	1024	0.382125	3	3677
DCK	690	0.40914	22	1837.5
DCLK1	1033	0.408018	-14	3487.14285714286
DCLK2	409	0.396495	-4	2823.2
DCLK3	617	0.40097	-14	2812
DCLRE1A	515	0.400715	7	3137.33333333333
DCLRE1B	545	0.40257	13	3576.5
DCLRE1C	396	0.40845	38	1950.47058823529
DCN	591	0.34862	-19	1126
DCP1A	167	0.48442	43	2262.66666666667
DCP1B	618	0.44032	29	1419.625
DCP2	439	0.40912	25	2576.77777777778
DCPS	426	0.474555	30	1535.66666666667
DCST1	214	0.54898	44	1922.83333333333
DCST2	214	0.523115	40	1680.66666666667
DCT	906	0.4008	0	2549
DCTD	431	0.47152	-12	958.588235294118
DCTN1	343	0.46295	42	1953.34615384615
DCTN2	303	0.50751	44	828
DCTN3	298	0.53872	51	1150.66666666667
DCTN4	211	0.4645	43	1167.71428571429
DCTN5	561	0.45924	38	1358.75
DCTN6	297	0.42453	47	803.833333333333
DCTPP1	142	0.52308	59	900.6
DCUN1D1	574	0.35981	13	1667.85714285714
DCUN1D2	318	0.51205	46	1080.75
DCUN1D3	503	0.416505	32	4079
DCUN1D4	766	0.4095167	17	1308.69565217391
DCUN1D5	585	0.36752	-9	891.090909090909
DCX	NaN	0.39615	13	5510.125
DDA1	211	0.56066	43	1259
DDAH1	308	0.400505	0	1666.27272727273
DDAH2	193	0.51215	20	1183.67142857143
DDB1	286	0.494745	50	1419.11538461538
DDB2	198	0.4995	38	1611.75
DDC	561	0.43828	11	1302.63636363636
DDHD1	448	0.398275	20	2860.66666666667
DDHD2	277	0.432075	44	1273.75
DDI2	162	0.45469	28	2652.66666666667
DDIT3	303	0.50751	44	888
DDIT4	145	0.46913	40	1007.33333333333
DDIT4L	795	0.37815	-8	1336.33333333333
DDN	214	0.47854	55	3749
DDO	469	0.42763	20	2034.66666666667
DDOST	208	0.48113	35	1204.5
DDR1	223	0.46283	25	1544.2619047619
DDR2	293	0.402245	9	2646.83333333333
DDRGK1	255	0.50072	55	944.75
DDX1	1386	0.39553	10	1295.5
DDX10	616	0.3847125	2	1674.75
DDX11	591	0.47586	-4	1673.15625
DDX17	177	0.47073	31	2352.25
DDX18	760	0.40682	-7	2093.16666666667
DDX19A	134	0.469575	44	1619
DDX19B	139	0.45161	47	1295.875
DDX20	440	0.423295	25	2034.16666666667
DDX21	246	0.41498	52	4711
DDX23	214	0.51475	57	876.222222222222
DDX24	605	0.489	47	2013.375
DDX25	414	0.39666	14	1228.625
DDX26B	NaN	0.40947	25	3079.2
DDX27	261	0.44957	50	2572
DDX28	158	0.54268	54	2592
DDX31	581	0.485455	42	2350.125
DDX3X	NaN	0.44854	54	2454
DDX4	486	0.388325	34	1394.85714285714
DDX41	347	0.58274	41	1199.88235294118
DDX42	346	0.46273	12	1858.84210526316
DDX43	232	0.43634	21	1197.5
DDX46	193	0.429575	36	2009.54545454545
DDX47	129	0.43148	27	1214.91666666667
DDX49	198	0.56807	20	1040.07142857143
DDX5	184	0.4445022	15	981.092592592593
DDX50	246	0.434155	45	1153.6
DDX52	340	0.41801	23	2790.22222222222
DDX53	NaN	0.38469	6	2118
DDX54	252	0.510945	35	1361.4
DDX55	224	0.4722935	44	1254.38461538462
DDX56	191	0.48558	56	1441.75
DDX58	362	0.402585	-12	3687.6
DDX59	276	0.40201	13	1286.88888888889
DDX6	154	0.4518	36	2450.42857142857
DDX60	350	0.369735	-10	1509.66666666667
DDX60L	238	0.37757	-11	2062.1875
DEAF1	236	0.59437	57	909.153846153846
DEC1	604	0.4004267	-17	1705
DECR1	534	0.3737	25	749.684210526316
DECR2	207	0.56232	37	1149.91666666667
DEDD2	299	0.52452	37	951
DEF6	264	0.48047	39	1276.25
DEFA1B	699	0.46251	-1	461.5
DEFA3	699	0.46251	-1	498
DEFA4	628	0.47249	11	617
DEFA5	715	0.45254	-3	444
DEFA6	628	0.47249	11	469
DEFB1	628	0.47249	11	478
DEFB103B	686	0.45613	-11	518
DEFB108B	465	0.45892	37	415
DEFB110	1258	0.34936	-7	286.5
DEFB112	1242	0.34833	-3	342
DEFB113	1258	0.34936	-7	249
DEFB114	1258	0.34936	-7	253
DEFB115	594	0.3911223	-29	267
DEFB116	594	0.3911223	-29	309
DEFB118	594	0.39327	-83	1158
DEFB119	594	0.39327	-83	441.25
DEFB121	450	0.41031	-79	423.5
DEFB123	450	0.42735	-76	467
DEFB124	450	0.42735	-76	393.5
DEFB126	430	0.3792847	25	476.5
DEFB127	430	0.3792847	25	514
DEFB128	430	0.3792847	25	373
DEFB129	348	0.40531	24	698
DEFB130	625	0.4344433	0	240
DEFB131	885	0.40816	12	213
DEFB132	348	0.40531	24	2121
DEFB134	451	0.46172	22	686.5
DEFB135	451	0.46172	22	234
DEFB136	451	0.46172	22	237
DEFB4A	693	0.41954	-5	380
DEGS1	174	0.41561	13	1078.8
DEGS2	237	0.53113	39	1050.33333333333
DEK	497	0.41218	4	1217.625
DENND1A	517	0.4400317	32	2106.92857142857
DENND1B	480	0.3506175	-21	1950.66666666667
DENND1C	219	0.53167	33	1339.92857142857
DENND2A	503	0.473565	31	2089.4
DENND2C	394	0.405965	8	3420.83333333333
DENND2D	627	0.39285	41	1400.125
DENND3	204	0.52266	51	2123.72727272727
DENND4A	240	0.39856	42	2660.875
DENND4B	222	0.49035	34	1395.76923076923
DENND4C	277	0.411705	13	4139.2
DENND5A	330	0.431845	31	1599.8125
DENND5B	361	0.4201467	17	3714.125
DENR	227	0.46271	42	1297.75
DEPDC1	601	0.37976	-18	2954
DEPDC1B	679	0.38736	13	1346.57142857143
DEPDC4	650	0.42778	3	921.2
DEPDC5	336	0.4608867	19	2388.80769230769
DEPDC7	215	0.38947	25	1524.25
DERA	534	0.389735	10	950.7
DERL1	412	0.43804	33	2147
DERL2	544	0.43577	24	948.846153846154
DERL3	196	0.51647	52	1193.3
DES	335	0.47783	38	1044
DET1	630	0.44109	4	1666.14285714286
DEXI	430	0.49018	41	1193.33333333333
DFFA	392	0.47782	32	2726.33333333333
DFFB	412	0.5194064	26	2036.16666666667
DFNA5	464	0.36864	21	1513.06666666667
DFNB31	290	0.495905	19	2342.8
DFNB59	555	0.39765	37	1020
DGAT1	200	0.58957	28	1000
DGAT2	418	0.45803	46	1858.66666666667
DGAT2L6	NaN	0.439105	14	1553
DGCR14	277	0.50317	18	2470.5
DGCR2	277	0.511425	16	3150
DGCR6	545	0.49486	-1	1413.125
DGCR6L	292	0.51948	43	1017
DGCR8	218	0.5638	50	2655
DGKA	229	0.45327	31	1149.63265306122
DGKB	1141	0.3528688	-13	2977.66666666667
DGKD	227	0.46308	33	2008.69230769231
DGKE	324	0.42367	-38	2896.5
DGKG	533	0.44391	32	2113.33333333333
DGKH	407	0.3888567	57	5070.125
DGKI	861	0.3893967	-7	2780.91666666667
DGKK	NaN	0.409085	7	5080.33333333333
DGKQ	256	0.5517	45	2153.6
DGKZ	212	0.52469	44	2193.80769230769
DGUOK	284	0.43021	45	785.125
DHCR24	249	0.48123	27	2106.25
DHCR7	626	0.49681	51	1053.5
DHDDS	181	0.498	33	991.04
DHDH	211	0.51941	43	801.5
DHFR	626	0.41574	35	1525.42857142857
DHFRL1	1378	0.38588	-18	2203.8
DHH	214	0.52782	65	1936
DHODH	372	0.44026	19	1138.44444444444
DHPS	409	0.46492	1	753.727272727273
DHRS1	220	0.50481	38	1226.45454545455
DHRS11	548	0.45391	23	1309
DHRS12	384	0.40482	33	835
DHRS13	220	0.49572	37	1363.6
DHRS2	595	0.45217	26	2045.55555555556
DHRS3	294	0.49381	27	1031
DHRS4	442	0.42853	23	890.333333333333
DHRS4L2	442	0.42853	23	933.083333333333
DHRS7	547	0.37892	4	937.636363636364
DHRS7B	382	0.45373	-18	1148.1
DHRS7C	204	0.44558	-62	814.333333333333
DHRS9	646	0.38476	12	1730.44444444444
DHTKD1	227	0.44613	25	1408.66666666667
DHX15	491	0.41974	35	1341.3
DHX16	171	0.48803	41	1655.42424242424
DHX29	417	0.393245	31	2595.5
DHX30	197	0.44475	34	1984.21428571429
DHX32	738	0.45465	-4	2272.25
DHX33	544	0.43577	24	2972.6
DHX34	232	0.51202	41	2383.25
DHX35	581	0.451205	31	2358.28571428571
DHX36	921	0.37893	-11	1896.42857142857
DHX37	229	0.49049	46	2960.5
DHX38	479	0.46466	9	1193.33333333333
DHX40	417	0.42207	25	1556.27272727273
DHX57	297	0.424055	25	2312.36363636364
DHX58	206	0.51357	37	1308.27272727273
DHX8	147	0.47237	20	2519.71428571429
DHX9	517	0.40402	23	1377.625
DIABLO	187	0.4912336	29	1210.53333333333
DIAPH1	502	0.44397	14	3218.33333333333
DIAPH2	NaN	0.37272	30	5103.6
DIAPH3	890	0.36609	22	3207.11111111111
DICER1	674	0.42386	16	3503.73333333333
DIDO1	336	0.52017	40	4974.44444444444
DIO1	319	0.41948	24	781.285714285714
DIO2	533	0.3797	-44	1730.45454545455
DIO3	577	0.54326	-26	2102
DIP2B	262	0.4202525	49	3501.8
DIP2C	632	0.471928	12	2593.5
DIRAS1	291	0.53281	25	1581.33333333333
DIRAS2	706	0.39661	13	4385
DIRAS3	524	0.38964	-25	1801
DIRC1	739	0.34401	-7	1037
DIRC2	412	0.40205	37	2709
DIS3	685	0.37739	2	3397.5
DIS3L	307	0.46012	44	1515.4
DIS3L2	464	0.441656	30	2028.05882352941
DISC1	622	0.417772	-3	2788.85
DISP1	210	0.3713	5	1817
DISP2	184	0.54417	42	1961.66666666667
DIXDC1	221	0.43797	22	2474.33333333333
DKC1	NaN	0.44138	7	857.666666666667
DKK1	519	0.35981	-8	836.5
DKK2	1014	0.35974	-18	1736.25
DKK3	243	0.39549	11	1036.58823529412
DKK4	459	0.44734	37	894
DKKL1	309	0.45692	30	742
DLAT	179	0.425495	27	2227.8
DLC1	559	0.397344	-28	1994.75
DLD	486	0.40917	12	1312.71428571429
DLEC1	411	0.474535	28	3140.625
DLEU7	649	0.3999633	31	1835
DLG1	417	0.4090225	36	1917.34482758621
DLG2	1000	0.3724204	-20	1982
DLG3	NaN	0.444565	30	2983.8
DLG4	316	0.50388	18	1695.9
DLG5	259	0.47091	27	3643.63636363636
DLGAP1	215	0.423496	24	2536.54545454545
DLGAP2	671	0.48119	-37	3121.8
DLGAP3	534	0.47183	28	2639
DLGAP4	360	0.5010333	46	2081.1875
DLGAP5	146	0.42631	54	1639.8
DLK1	323	0.52966	2	917.2
DLK2	230	0.48196	56	1655.2
DLL1	631	0.53402	-23	3174
DLL3	230	0.52931	39	1359.6
DLL4	176	0.53157	50	2017
DLST	232	0.40743	41	1004.0625
DLX1	295	0.40636	34	1420.42857142857
DLX2	295	0.40636	34	2152.5
DLX3	191	0.54132	12	1718
DLX4	191	0.54132	12	1167.6
DLX5	991	0.41948	-15	1274.66666666667
DLX6	991	0.41948	-15	1593
DMAP1	211	0.43116	29	1171.6
DMBT1	404	0.481985	2	6587.71428571429
DMBX1	255	0.52517	23	2881
DMC1	238	0.46268	38	1013.66666666667
DMD	NaN	0.3655443	-12	3263.42857142857
DMGDH	434	0.399935	45	1351.25
DMKN	367	0.495335	35	781.057971014493
DMP1	623	0.38909	-7	2658
DMPK	203	0.51725	43	1587.52631578947
DMRT1	622	0.439705	8	1789.33333333333
DMRT2	845	0.44501	4	2081.66666666667
DMRT3	703	0.43113	9	1340
DMRTA1	448	0.37924	-26	5569
DMRTA2	639	0.45139	-7	2988.5
DMRTB1	385	0.4704	25	1355.5
DMRTC1B	NaN	0.42314	6	913.875
DMRTC2	454	0.46613	23	1164.125
DMTF1	1011	0.380555	4	1645.17073170732
DMWD	203	0.51725	43	1362.5
DMXL1	381	0.383015	28	2347.86666666667
DMXL2	422	0.39231	11	3002.5
DNA2	294	0.41914	29	2318.375
DNAH1	229	0.53738	55	4945.125
DNAH10	482	0.4606667	39	3709.125
DNAH11	671	0.390164	8	3055.36363636364
DNAH12	454	0.3918433	29	3040.9
DNAH14	791	0.37517	-15	3262.26315789474
DNAH17	188	0.525645	25	4373.63636363636
DNAH2	232	0.502225	25	6136.71428571429
DNAH3	549	0.4352167	29	4977
DNAH5	674	0.38976	-17	4787.5
DNAH6	494	0.3875	-3	5730.71428571429
DNAH7	518	0.3713575	-3	3349.25
DNAH8	845	0.393055	25	9308
DNAH9	859	0.428585	-75	2892.86666666667
DNAI1	370	0.47249	49	990.333333333333
DNAI2	427	0.52348	-2	2018.57142857143
DNAJA1	286	0.42356	0	1236
DNAJA2	362	0.46178	13	1927.75
DNAJA3	148	0.54381	40	1296.57142857143
DNAJA4	371	0.47775	54	1814.75
DNAJB1	204	0.52742	26	853.818181818182
DNAJB11	436	0.42593	40	1602.33333333333
DNAJB12	145	0.486915	45	2673
DNAJB13	196	0.43423	41	1187.2
DNAJB14	682	0.36694	36	2529.72727272727
DNAJB2	193	0.50856	44	1170.66666666667
DNAJB4	256	0.38577	1	1156.5
DNAJB5	394	0.41991	23	2034.83333333333
DNAJB6	174	0.499745	22	1549.63157894737
DNAJB8	317	0.54386	50	2915
DNAJB9	838	0.39333	6	1214
DNAJC1	608	0.3849967	2	921.2
DNAJC10	421	0.37566	7	3874.375
DNAJC11	259	0.5166	34	1410.85714285714
DNAJC12	441	0.40143	-5	852.8
DNAJC13	538	0.3799	14	1826
DNAJC14	256	0.449	38	2182.8
DNAJC15	249	0.39992	51	1731
DNAJC16	188	0.4962	34	2576.33333333333
DNAJC17	172	0.45684	46	779.818181818182
DNAJC18	177	0.46848	48	1008.5
DNAJC19	1094	0.37336	-4	1046.22222222222
DNAJC2	620	0.37622	8	1486.54545454545
DNAJC21	675	0.3951	21	2766.14285714286
DNAJC22	175	0.50204	37	1472.5
DNAJC24	879	0.3623	-19	1120
DNAJC25-GNG10	212	0.431455	17	1448
DNAJC27	296	0.51292	35	1405.85714285714
DNAJC28	182	0.45616	63	1486.33333333333
DNAJC3	552	0.404015	41	3932
DNAJC30	214	0.51193	52	2485
DNAJC4	179	0.56339	61	739.454545454545
DNAJC5B	377	0.41468	45	1216.5
DNAJC5G	182	0.493885	45	1412
DNAJC6	441	0.404735	0	2264
DNAJC7	206	0.50195	23	1065.88
DNAJC8	213	0.46555	33	938.333333333333
DNAJC9	249	0.40665	44	1194.75
DNAL1	191	0.44194	47	1526.1
DNAL4	272	0.5006	73	933.75
DNALI1	274	0.44989	30	1533.33333333333
DNASE1	242	0.49022	43	1374.6875
DNASE1L1	NaN	0.57628	40	1622.5
DNASE1L2	224	0.62375	39	1361
DNASE1L3	150	0.46601	45	1100.25
DNASE2	226	0.54843	32	1034.2
DNASE2B	769	0.39231	-13	1199.5
DND1	356	0.44768	31	1605
DNER	456	0.4073425	-3	2051
DNHD1	491	0.45632	23	3604.65
DNLZ	258	0.6241	28	1829
DNM1	201	0.53791	45	2128.9
DNM1L	308	0.41801	-5	1420.1
DNM2	208	0.523745	31	1769.65217391304
DNM3	643	0.378115	6	3562.875
DNMBP	221	0.442665	32	3700.5
DNMT1	200	0.51259	23	1385.48275862069
DNMT3A	286	0.51013	43	1782.33333333333
DNMT3B	173	0.48634	42	3438.25
DNMT3L	219	0.55779	76	1256.25
DNPEP	335	0.47783	38	973.380952380952
DNTT	804	0.42351	30	1994
DNTTIP1	180	0.445	48	809.833333333333
DNTTIP2	275	0.42709	9	1732.42857142857
DOCK1	856	0.4467532	-32	1820.8
DOCK10	521	0.3948025	11	1871.15384615385
DOCK11	NaN	0.40536	38	6644.5
DOCK2	680	0.4273083	33	2262.17647058824
DOCK3	756	0.413975	25	8605
DOCK4	718	0.3941867	-18	2495.29411764706
DOCK5	512	0.41944	14	2386.16666666667
DOCK6	233	0.52966	32	1634
DOCK7	474	0.3742867	4	3223.25
DOCK8	462	0.4069867	2	3186.94117647059
DOCK9	494	0.428325	27	2214.5
DOHH	210	0.565855	36	1294
DOK1	315	0.52076	50	1171.46153846154
DOK2	470	0.48328	12	1060.42857142857
DOK3	347	0.58274	41	1154.61538461538
DOK4	159	0.49373	45	969.944444444444
DOK5	847	0.3888733	-37	1138
DOK6	968	0.3620067	-4	2168.8
DOK7	412	0.52778	46	1573
DOLK	203	0.49462	29	2090
DOLPP1	206	0.53434	30	1555.33333333333
DONSON	375	0.42044	68	1473.30769230769
DOPEY1	697	0.375845	7	4098
DOPEY2	232	0.464325	65	2721.5
DOT1L	199	0.579625	28	1659.90909090909
DPAGT1	195	0.49705	58	1441.06666666667
DPCD	421	0.44772	19	768.142857142857
DPCR1	261	0.50426	36	3207.88888888889
DPEP2	158	0.54268	54	1201.3
DPEP3	158	0.54268	54	1243.5
DPF1	301	0.53783	-1	1387.125
DPF2	242	0.51451	50	1739.83333333333
DPF3	599	0.46017	41	1404.14285714286
DPH1	294	0.54095	27	1274.47058823529
DPH2	214	0.51458	39	1092.94444444444
DPH3	437	0.432855	26	2024.75
DPH5	727	0.36567	-6	1046.53333333333
DPM1	367	0.47382	36	974.714285714286
DPM2	201	0.54632	56	1122.8
DPM3	194	0.5086	32	470.666666666667
DPP10	1178	0.3671756	-22	1804.84615384615
DPP3	194	0.49955	51	1307.05555555556
DPP4	528	0.3809	9	1351
DPP6	1019	0.4264288	-25	1817.66666666667
DPP7	202	0.57195	36	844.076923076923
DPP8	187	0.45725	39	2050.16666666667
DPP9	203	0.541855	29	1252.16
DPPA2	1096	0.41907	-19	1383
DPPA3	672	0.42572	14	1079
DPPA4	1096	0.41907	-19	1338.5
DPPA5	446	0.44364	18	679
DPRX	684	0.47226	-48	648
DPT	440	0.39801	9	1786
DPY19L1	935	0.40013	0	1091.14285714286
DPY19L2	681	0.366815	-28	1272.44444444444
DPY19L3	531	0.420235	-54	2792.5
DPY19L4	380	0.41129	32	1387.5
DPY30	295	0.40066	27	734.714285714286
DPYD	807	0.3539467	-6	1722.6
DPYS	972	0.41475	15	824.125
DPYSL2	520	0.44663	26	1784.5
DPYSL3	827	0.401095	-10	1639.2
DPYSL4	416	0.57876	-6	1413.16666666667
DPYSL5	378	0.469185	36	2198.33333333333
DQX1	315	0.52076	50	1391.125
DR1	223	0.38658	13	4346.33333333333
DRAM1	238	0.425795	17	1176.66666666667
DRAM2	708	0.3828	13	994.636363636364
DRAP1	287	0.53051	42	696.777777777778
DRD1	729	0.42831	14	4054
DRD2	610	0.46033	5	1634.27272727273
DRD3	589	0.40093	23	1573
DRD4	236	0.59437	57	868
DRD5	923	0.47503	30	2375
DRG1	237	0.467725	38	749.833333333333
DRG2	183	0.5017	23	1249.52380952381
DRP2	NaN	0.41755	26	6203.6
DSC1	492	0.36535	-7	4248
DSC2	521	0.36884	-12	4975
DSC3	521	0.36318	-25	4941.33333333333
DSCAM	971	0.413489	-72	6963
DSCAML1	624	0.49498	44	4527
DSCC1	677	0.37801	12	1508.5
DSCR3	263	0.407575	58	1733.6
DSCR4	448	0.42017	1	891.333333333333
DSE	541	0.383295	30	3435.88888888889
DSEL	527	0.35372	-33	9531
DSG1	412	0.370855	15	3451
DSG2	450	0.383685	1	3456
DSG3	450	0.36576	-18	5525
DSG4	412	0.36812	-4	4052.5
DSN1	231	0.468785	64	1819.90909090909
DSP	218	0.44235	12	6120.66666666667
DSPP	623	0.38909	-7	4306
DST	446	0.3734033	23	6211.75675675676
DSTN	347	0.44746	-5	2088.33333333333
DSTYK	277	0.42688	39	7499.33333333333
DTD1	613	0.4294033	6	1885.5
DTL	399	0.37625	15	2103.66666666667
DTNA	552	0.37356	-20	2202.86842105263
DTNB	356	0.4348633	44	1266.12903225806
DTNBP1	750	0.423005	24	1242.27272727273
DTWD1	390	0.3604	-22	1078.46153846154
DTWD2	554	0.382	8	2329.25
DTX1	387	0.475375	44	1493
DTX2	220	0.506415	58	1180.72727272727
DTX3	303	0.497185	48	1628.55555555556
DTX3L	404	0.38815	35	3277.5
DTX4	686	0.41226	9	2123.75
DTYMK	406	0.51371	32	793.142857142857
DUOX1	544	0.5055	27	2236.83333333333
DUOX2	544	0.461805	23	4091.2
DUOXA1	544	0.5055	27	1104.4
DUOXA2	544	0.5055	27	1639
DUPD1	298	0.423845	44	663
DUS3L	225	0.53598	26	937.666666666667
DUS4L	753	0.37926	26	1362.08333333333
DUSP1	180	0.50622	44	2019
DUSP10	599	0.38493	2	1687
DUSP11	404	0.43155	37	1112.83333333333
DUSP12	504	0.41683	29	863.4
DUSP13	298	0.45343	40	1118.6
DUSP14	201	0.43256	29	1767.66666666667
DUSP15	241	0.4794	37	1151.5
DUSP16	157	0.417445	30	1244.33333333333
DUSP18	330	0.52121	56	1428.6
DUSP19	524	0.3882	20	2339.66666666667
DUSP2	251	0.53244	48	1230.5
DUSP21	NaN	0.42441	15	882
DUSP22	684	0.44596	46	1060.5625
DUSP23	497	0.40071	6	726.333333333333
DUSP26	610	0.45633	11	1310.33333333333
DUSP27	611	0.40726	-1	3149.5
DUSP28	485	0.53953	28	1354.2
DUSP3	192	0.49229	35	2247.16666666667
DUSP4	267	0.436925	42	4248
DUSP5	157	0.47859	51	1688
DUSP6	448	0.39421	-23	1720.8
DUSP7	224	0.53508	36	3210
DUSP9	NaN	0.53024	44	1717.33333333333
DUT	381	0.395	-34	959.909090909091
DUXA	924	0.45092	-64	1006
DVL1	273	0.62447	28	2268
DVL2	316	0.52047	21	1062.2
DVL3	334	0.45186	42	1636.375
DYDC1	598	0.44216	18	822
DYDC2	598	0.41144	-7	1577.66666666667
DYM	414	0.413648	57	792.6
DYNC1H1	196	0.478485	38	1924.45454545455
DYNC1I1	747	0.3849425	-7	1810.36363636364
DYNC1I2	344	0.393025	33	1478.89285714286
DYNC1LI1	568	0.42199	35	1558.625
DYNC1LI2	145	0.45807	10	1118.375
DYNC2H1	883	0.355766	-19	3956.44444444444
DYNC2LI1	480	0.38797	35	1108.63636363636
DYNLL1	216	0.46778	46	749.454545454545
DYNLL2	352	0.43222	11	6805
DYNLRB1	214	0.44705	54	1061.6
DYNLRB2	465	0.41549	-30	546.666666666667
DYNLT1	306	0.47594	49	1463.66666666667
DYNLT3	NaN	0.386685	28	1285.33333333333
DYRK1A	366	0.401195	47	2414.41666666667
DYRK1B	526	0.45665	23	1674.375
DYRK2	596	0.4052	-9	2204.33333333333
DYRK3	261	0.44755	34	1870.4
DYRK4	874	0.39517	24	941.947368421053
DYSF	533	0.4618125	10	4267.31578947368
DYTN	832	0.37894	14	1240.5
DYX1C1	405	0.41461	1	1397
DZIP1	438	0.40011	45	3441
DZIP1L	464	0.42276	8	1075.77777777778
DZIP3	941	0.359515	0	3019.5
E2F1	161	0.43596	55	2503
E2F2	159	0.49819	32	2870.5
E2F3	568	0.43398	7	4444.5
E2F4	150	0.55169	46	954.461538461538
E2F5	1450	0.38296	3	1661.44444444444
E2F6	196	0.436775	26	1578.23076923077
E2F7	887	0.38543	-11	2415.57142857143
E2F8	504	0.39919	16	1958.5
E4F1	224	0.62375	39	1840.33333333333
EAF1	256	0.44728	49	2254.66666666667
EAF2	550	0.374655	30	835.6
EAPP	165	0.443555	13	874.5
EARS2	628	0.47294	48	1235.58823529412
EBAG9	623	0.35495	8	1035.75
EBF1	728	0.400896	39	2819.8
EBF2	616	0.42499	-1	2638.75
EBF3	947	0.486615	-28	2728.33333333333
EBI3	244	0.53435	39	777.5
EBNA1BP2	294	0.42374	30	886.888888888889
EBP	NaN	0.46673	2	915.333333333333
EBPL	296	0.45213	62	772.5
ECD	233	0.393155	44	1484.625
ECE1	196	0.481035	27	1713.92307692308
ECE2	241	0.505675	47	2073.90909090909
ECEL1	191	0.52541	32	2246.25
ECH1	219	0.51321	30	603.764705882353
ECHDC1	889	0.36119	-4	1118.95833333333
ECHDC2	311	0.42076	30	1188.7037037037
ECHDC3	163	0.464715	15	1079.6
ECHS1	472	0.58641	13	1617
ECM1	163	0.41641	43	1568.57142857143
